my_crossing_reference,assessment_comment
15600467,"Known chinook system upstream and down. Two culverts, only left one has water flowing through. Left one is warped in the middle. Very deep outlet pool. Wetland habitat upstream. Agricultural land downstream, with defined channel and good flow.  "
15600107,"No water in culvert. Dewatered upstream. Some standing water in outlet pool, then dewaters downstream. Clear signs of cattle intruding into channel upstream.  "
15600190,"Three culverts. Water flowing through two pipes. The other one is dewatered, looks like it was installed too high. Overgrown channel upstream. Downstream goes through agricultural land. "
15603995,Fully dewatered. Very small culvert. Signs of a stream channel but doesn't look like there has been water flowing in years.  
15600011,"Huge outlet pool, but no outlet drop. No water in pipe and no flowing water in stream. "
15600572,"Dewatered.  Vegetated stream channel. Three culverts, diameter totaled. "
15600483,"High quality habitat upstream, wide channel with good flow. Lots of instream vegetation near culvert.  Fully backwatered and passable at time of assessement."
15600493,"Upstream, overgrown with smaller channel. than downstream. Significant outlet drop."
15600520,"Big wetland upstream, beaver grate at inlet. Big debris jam in middle of culvert. Only water in pipe near inlet. Dewatered channel downstream at time of survey. "
15600119,"High value habitat, wide channel with good flow and gravels. Known chinook system downstream. Culvert is very damaged near outlet. There are holes on bottom of pipe about 5m from outlet where water is running through and under the pipe. Culvert is angled down near outlet.  Good candidate for replacement.  "
24716705,Inlet almost completely blocked by debris and wood. Wetland upstream. Beaver dam blocking most of water just downstream of outlet pool.  Chinook observations noted downstream
15600122,"Big, deep outlet pool. Water is flowing from inlet under the pipe for ~10m and then entering pipe through small hole and then flowing in pipe to outlet.  Very near Nechako on unpaved road.  Perched pipe."
15600124,Very small channel. Agricultural fields upstream and downstream of crossing with no tree cover.  Seems likely historic wetland area.
15600362,Dewatered pasture upstream with vegetated channel. Small channel downstream with no water. 
15600434,Landowner reports there hasn't been water in stream since the spring. 
15600431,Mostly dewatered channel with small amount of water in outlet pool.. Large outlet drop. No well defined channel upstream. Channel width and gradient estimated as areas immediately upstream and downstream are fenced off. 
15600311,"Two pipes. Dewatered at tiime of assessment.  Large outlet drop. Debris jam near outlet blocking channel. Grassy habitat upstream, with small channel. "
15600314,Dewatered at time of assessment. Very small channel upstream. Culvert was installed deep down into the valley. 
15600305,Dewatered at time of assessment. Small channel. Inlet side is fenced off by barbed wire.
15600459,Three pipes. Dewatered at time of assessment. Culverts appear old and near end of life.  Vegetated channel within pasture land upstream. Large debris jam blocking inlet of middle culvert. 
15600182,Very big outlet drop and deep outlet pool. Trickle of water flowing through culvert. Dewatered downstream of outlet pool and dewatered upstream of culvert. Channel width taken upstream but channel is wider downstream of crossing. Culvert is warped and a little corroded.  Channel primarily vegetated.
15600490,"Very big outlet drop. Small channel upstream, grassy habitat near crossing.  Chinook confirmed downstream on nearby Clear Creek."
15603729,High habitat value.  Abundant gravels and wide channel. Two pipes that look very old but fully backwatered.  Chinook were captured downstream of Settlement Road culvert in 2021 (https://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=61991).
15600285,"Two pipes (one at 1.8m, one at 1.5m), both with similar outlet drops. Inlet side has extensive beaver activity. Beaver dams are covering the inlet and culverts are not visible. Huge wetland upstream. Very big outlet pool so depth was estimated. Chinook were captured downstream of Settlement Road culvert in 2021 (https://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=61991) and Rainbow Trout observed in stream from 2021-2023 (https://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=61202 and https://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=62942). Culverts should be replaced and beaver activity managed. Habitat looks good downstream. High habitat value at crossing upstream. "
15600427,Dewatered stream.  Large outlet pool. Pipe very corroded on outlet side. Wide stream channel upstream.  Grassy channel downstream.  Fully backwatered at time of assessdmnt.
15600478,Wetland upstream and downstream. Culvert blocked with some debris and overgrown with vegetation. Probably hasn't been flow through pipe in a while.
5400450,"Moderate flow, wide stream with nice gravels upstream. Runs through rural area. Big outlet drop and deep pool.  Erosion and embankment issues above culvert on outlet side. Rainbow confirmed upstream.  FISS has 3m falls locaed 3.5km upstream of Decker Lake but suspect not actually an issue."
5400445,"Dewatered at time of assessment.  Wide channel, private land on both sides. Culvert looks old and corroded, abundant fill in barrel. "
5400440,"Dewatered at time of assessment. Small pool near outlet.  Rainbow confirmed in past upstream. Two 3m falls noted 450m upstream. in FISS. Culvert is very old, corroded and has holes in bottom. "
5406295,Two pipes at 1.1m diameter each. Debris jam blocking majority of inlet on both pipes.  Large channel dewatered at time of assessment.  Significant outlet drop on both culverts.  Two 3m high falls documented in FISS at ~500-600m upstream.  Rainbow trout historically captured upstream.  RB have historically been captured upstream
5400044,"Dewatered stream at time of survey. Wide channel, abundant boulders downstream of crossing. Rainbow confirmed upstream in past. Culvert is old and corroded badly on outlet side. Stream most likely flows under culvert near outlet during high flow. "
5400227,"Very long culvert length and high fill depth, two pipes. Mostly dewatered stream. Small pools upstream, stagnant water. Small, confined channel. Can't see the other end of pipe, culvert slope estimated. Might be some blockage or culvert is bent in middle. Unassessed railway crossing just downstream."
5400286,"Small fry spotted in culvert and in outlet pool. Two pipes, both old and corroded with large outlet drops. Small holes in both pipes causing some water to flow under pipe. Very low fill depth, culverts almost at highway. Near Burns Lake, in residential area. Habitat looks good upstream. RB and LSU upstream in Guyishton Lake. "
5400042,"Culvert almost fully embedded except for small section at inlet side. Small fish seen in culvert and upstream of crossing. Moderate flow, wide channel. RB confirmed upstream in past. "
5401774,"Near entrance to lumber yard, Babine Forest Products Ltd. Barrier just upstream. Railway downstream has not been assessed yet. Big outlet drop with very deep pool. Wide stream channel with low water levels. RB upstream."
5400019,Culverts runs underneath highway and railway. Outlet could not be located Creek found below railway and flows to the Endako confluence. Beaver grate on inlet side. 
5400239,"Dewatered at time of assessment.  RB, LKC and LSU confirmed upstream in past. Foster Creek joins this stream just upstream of crossing. Old culvert, bent in middle. Unassessed railway crossing downstream."
15600265,Dewatered at time of assessment. Fenced off private land on both sides. Small outlet drop. 
15600301,Wetland habitat upstream and downstream. Beaver in culvert at time of survey.  Beaver exclusion cage on inlet. Small debris jam at outlet. Fish presence confirmed just downstream of culvert.  Leg Lake just upstream.
15600302,"Wide stream channel, dewatered at time of survey.  Small pool near outlet, no flowing water.   Likely important migration corridor as this is a large system."
5400157,"Very wide channel, culvert is undersized and perched. Deep outlet pool and massive outlet drop. Small fish seen in outlet pool. RB confirmed in past upstream and downstream.  Just upstream of Babine Forest Products Ltd lumber yard.  Railway downstream needs to be assessed."
15600624,Dewatered at time of assessment. Very small and hard to find channel. Overgrown and little stream substrate present. Upstream fenced off on private land. 
15600626,"Dewatered stream. Upstream is in fenced off private land, no clear channel visible. More obvious channel downstream of crossing. Moderate outlet drop with big dry area that looks like it would be an outlet pool when the stream is flowing."
15600076,"Two pipes, they are closer together at outlet compared to inlet so they must be bent in middle. Dewatered. Fenced off private land downstream. Little riparian and evidence of cattle trampling. Upstream is in better shape, small channel visible. "
15600629,Dewatered. Fenced off private field upstream. Wide open grassy floodplain with little riparian and no channel visible. Downstream has wide area at outlet where pool used to be. Evidence of livestock trampling and/or big game near outlet. 
15600057,"Culvert runs under active highway construction site. Inlet could not be accessed. Looks like they are excavating near inlet. Possible bridge construction? Stream is mostly dewatered but there is some stagnant water in culvert. Baffles in pipe. Habitat downstream looks good, with abundant woody debris and healthy riparian. "
15603872,"Numerous baffles in pipe. Smaller secondary culvert next to main pipe but installed higher up so likely doesn't get much water. Little amount of flow in pipe but stops just short of outlet, most likely due to small split in pipe. Wide shallow outlet pool but no drop. Abundant algae on stream substrate upstream. RB and WSU confirmed up and downstream. "
9902601,Dewatered upstream and downstream. Baffle steps in culvert containing pools with water but no flow. Efforts being made upstream to restore riparian vegetation with fencing and saplings present. No clear channel downstream. Fish confirmed upstream in 2020.  
9903105,"2 pipes. Wetland area upstream, beaver grate on inlet. Signs of beaver activity, dam near outlet. Hard to determine stream channel width so used combined culvert diameter. Little trickle flowing through one pipe but other one is dewatered.  Considered medium value habitat due to presence of suitale rearing habitat and water in drought period."
9900404,"Outlet drop but no pool. Small amount of flow in pipe. Holes in bottom of pipe near outlet where water is flowing through and under. Very murky, turbid water upstream with no flow. Abundant boulders around outlet. "
9900446,"4 pipes seen at outlet but only 2 bigger ones visible on inlet side. Only one big pipe has flowing water, has beaver grate on inlet. Small debris jam in front of inlet, likely from beaver. Upstream is grassy with little riparian on banks near crossing. Downstream is different, good habitat and wide channel. Very deep, wide outlet pool. Small fish seen in pool.  No fish confirmed on system. "
9902577,"Chinook confirmed upstream in past.  Two pipes, only one had water flowing through at time of survey. Small outlet drop. Abundant boulders present downstream. High value habitat upstream with wide channel and gravels present. "
9900262,Two pipes but only one is functioning and has small amount of flow through it. Very small channel.  Observed chinook in FISS downstream of confluence with Beaverley Creek at ~100m from the crossing and ~30m from the confluence. 
9900380,"Small stream, very close to Chelako confluence.  Large outlet drop but no deep outlet pool. Abundant gravels upstream."
9900385,"Dewatered stream, small channel with little to no gravels or cobbles. Two pipes but only one functioning. with other pipe is not visible at outlet. "
9900277,Two pipes and one overflow pipe. Small amount of flowing water through one pipe. Wetland type habitat downstream with beaver dam near outlet. Medium sized channel downstream with medium value habitat with functional woody debris and some gravels. 
13900100, High value spawning and rearing habitat upstream.  Massive outlet pool with erosion indicates culvert is extremely under sized.   Candy et al 2002 notes chinoook spawning in this system.  
13900026,"Small stream, overgrown with vegetation in sections. Pipe is made of plastic. Some gravels present,  with moderate flow. Unassessed rail crossing just upstream that appears passable. Downstream crossings on private property."
13905537,"Three pipes at 0.9 m each, but only one has flowing water,  other two are blocked by vegetation. Made of concrete and built in 1930. Nice stream with good flow. Abundant rearing habitat located upstream.  Although the stream has a lot of volume, the depth in the one pipe functioning is extremely shallow and has a 50cm concrete drop at the outlet.  This road is the only access to the town of Penny just downstream, therefore a wash out could leave them stranded."
13900027,"Two 0.9m pipes, both plastic. Nice stream with good flow. There is another culvert located downstream on the driveway to a private residence that has a small outlet drop (approximately 20cm). Some gravel is upstream of the railway.  No barrel photos. Penny Street is the only vehicle access to and from the community of Penny located just up the road."
13905538,"Two pipes made of concrete under the railway 0.9 m each. Crossing constructed in 1934. Nice stream good flow. Some small gravel's located upstream. Wire mesh cages attached to inlets upstream - poentially for beaver. Fill depth measured at 12m, but changed to 9.9 to satisfy submission template macros."
13900309,"Predominantly fine substrate downstream but abundant gravels upstream as. Wide channel with good flow immediately adjacent to Fraser mainstem. Small debris jam near outlet, backwatering pipe.  Does not appear to be a barrier to adults but could have value for juvenile rearing and potentially hindered access during high flow times when refuge needed.  Sampling could help determine if chinook are accessing upstream. Very deep, muddy outlet pool.  Unassessed railway crossing ~900m upstream."
13900306,Wetland area upstream. Beaver exclusion cage on inlet but the cage is completely blocked with material so there is a wetland upstream. Appears to be recent maintenance on the site. Road prism is eroding at the location of the culvert with a piece of pipe set aside that has possibly been recently removed.    Culvert slope estimated as could not see through the pipe. Unassessed railway crossing ~1.3km upstream.
13900305,"Stream dry the time assessment. Flows through agricultural field on both sides. Very minimal willow and cottonwood riparian. Stream is incorrectly mapped in the Freshwater Atlas and actually crosses under the road ~350m further east on Penny road.  Satellite imagery shows there are signs of the old meandering channel near the FWA streamline, suggesting the stream may have been redirected at one point.Road embankment is sloughing around the inlet with pipe 50% blocked due to the road fill. Penny Road is the only access to the community of Penny."
13903451,"Small debris jam at outlet causing drop. Culvert is old and warped. Velocity is much higher in pipe than upstream. Predominantly fine substrate upstream, some gravels downstream."
13903452, Very nice stream with abundant gravels and good flow upstream. Some old growth cedar within the upstream riparian area. Culvert must be bent in the middle because cannot see through. Pipe gradient estimated. Large outlet drop and deep outlet pool indicates culvert is extremely undersized.   Penny Road is only access in and out of the community of Penny.  Unassessed railway crossing ~300m upstream.
13903450,"Beaver grate at inlet, moderate outlet drop and pool. Wetland type habitat upstream. Very turbid stream water."
13903449,Good flow. Small channel with fine substrate. Pipe is bent up approximately 2m downstream of the inlet. Debris guard has been built around the inlet.  Penny Road is the only access in and out of the community of Penny.   Is 500m downstream to the fraser river confluence. with another crossing that should be considered.
2023100301,"Stream not present at this location within freshwater atlas. Good flow and abundant, small gravels upstream and downstream. Although pipe appears undersized, the size and depth of the outlet pool indicates that it handles the flow decently well.           "
13900052,Small channel with no outlet drop or pool. Moderate flow and a lot of grassy vegetation on stream banks downstream. 
13905581,"Grassy vegetation upstream and downstream, little to no riparian. Runs through private property downstream. Small channel with low flow."
13900094,Newly installed pipe. Good flow with beaver activity prevalent upstream and downstream. 
13903446,Concrete pipe. Smaller stream with some flow. Chinook observations upstream and downstream of this crossing in FISS.   Located on Upper Fraser Road which is only access to communities beyond including town of Penny.        
13900043,Chinook confirmed upstream in 2018. Structure goes under highway and railway. Culvert visible at inlet but outlet has different structure. Slope estimated. Small step at outlet creating drop.  
13903617,"The crossing is actually located ~150m south of the modelled crossing (at km 31.9), on an unmapped Freshwater Atlas stream which flows into the crossing from the east, flowing along the ditch for approximately 60-70m. The streamline can be seen in satellite imagery. Very nice stream with good flow, abundant gravels, and some pools to 50cm deep. The inlet is completely buried and the outlet is blocked by beaver debris. Culvert slope estimated."
13903184,"Very wide stream with high flow. Velocity is high in culvert. Very deep and big outlet pool, depth estimated. Known salmon spawning location. Chinook confirmed with carcass noted just upstream in 2022 by same field team. "
13903183,Wetland type habitat upstream with multiple small channels threaded through it. Inlet of pipe is extremely bent. Nice little stream with well defined channel downstream. Good amount of flow and connected to known chinook system.           
13900192,Very big outlet drop. Gravels present upstream that could be suitable for spawning. Small debris jam ~15m upstream of crossing but likely not a major barrier. 
13900261,"Very nice stream with steeper cobble boulder habitat, potentially valuable rearing for Bulltrout . Very steep and long pipe with transmission line vegetation cleared at outlet.  There's a 20m section of dewatered stream approximately 10m downstream of the outlet due to a graded substrate likely related to highway corridor.  Crossing is within provincial park.  "
13900260,Large stream with abundant gravels present upstream suitable for spawning. Massive outlet drop with powerline riparian cleared downstream of the highway.   Old growth cedar hemlock riparian within Sugar bowl grizzly den provincial park. Follow up with habitat confirmation recommended.                 
13900270,"Culvert very old. Big wetland complex upstream. Inlet barely visible, covered in woody debris and rusty metal. Culvert slope estimated. High velocity coming out of outlet with moderate drop. Habitat looks good downstream, wide channel with high flow. Crossing is within the Sugarbowl grizzly den provincial park. "
13900196,"Very large, low gradient stream with chinook points. Hydrometric station upstream. Outlet drop is comprised of boulders, likely placed there to aid in passage. Located at the downstream end of powerline corridor, there is a steep cascade section for approximately 30m that is 8% gradient.  Cascade could be as much or more of a passage issue as the pipe.      "
13900198,"Massive outlet drop and deep pool,  both depths estimated. Signs of beaver activity near inlet. There is an old well-like structure attached to inlet side.Water could be flowing through underneath surface, not visible.  "
13903179,"Horsetail and willow wetland upstream with a small well-defined channel with fine gradients. Pipe is blocked by beaver debris. There is a second pipe that's approximately 1.5 m higher and 0.9m in diameter that is free of debris and functions as an overflow. Potential refuge area during periods of high flow in the Fraser river,  which was only 40m downstream at the time of assessment.  Gate at the end of the road preventing access to launch point for Penny.  Could consider road deactivation as a solution.  Crossing is located in the Ancient Forest/Chun T'oh Whudujut Protected Area.        "
13900053, Could not locate pipe as it is underwater at both inlet and outlet. There appears to be a bunch of logs under the road so suspect that there may be no structure at all as the drainage may have been put in with logs - although MOT culvert layer says 0.6 m galvanized pipe.. Road is failing with 3 foot deep and 2 foot wide hole in the road marked with a pilon.           
13900201,"Big beaver dam near inlet of culvert spanning across whole channel approx 1.2m high.  Boulders in pipe near inlet creating small drop and increasing velocity.  Channel widens downstream, high value habitat. RB and CCG confirmed upstream and downstream with chinook observed way downstream at mouth.    Low gradient upstream and downsteram with decent outlet drop so resampling to determine chinook presence could be insightful."
13900157,"Very large system with beaver complex upstream, including a large beaver dam approximately 1.3m high located 25m upstream of the inlet. Approximately 20m downstream of the outlet is a rock chiute that is over 30% gradient but only for 5m with a total height of 1.7m.  There are two other falls noted as FISS obstables between this crossing and the fraser river doenstream. There is significant erosion of the road prism on the upstream side above the culvert. Culvert is located on the bend of Highway 16 under 10m of road fill.  Noted falls and lack of fish observations indicated access issues downstream."
13900019,"Steep waterfall 10m downstream of crossing,  approximately 8m in height. Stream gradient and channel width taken upstream. Gravels present upstream, but definite barrier downstream.  Crossing is within the West Twin Protected Area. "
13900066,Absolutely massive structure with 12 m of fill plus the height of the culvert which appears to be approximately 7m. Fill depth changed to 9.9m to satisfy submission template macros. Very nice large stream with  boulder step pool habitat suitable for bull trout.  Falls noted just downstream in FISS but not observed in field with minmal survey.
13900064,"Deep canyon and high waterfall directly downstream of crossing which is a definite barrier to all fish. Rough estimate 20m height. Outlet drop and pool estimated because it was unsafe to get near stream due to steep embankment. RB confirmed upstream of crossing in 2017 and 2020, but the falls downstream is a definite barrier.  "
13900200,"Big wetland upstream. Inlet could not be found, likely submerged. Small channel downstream, pipe looks old and in bad shape. Overflow pipe near first pipe but not functioning currently.  "
13900077,Wide channel and high flowing stream. Small outlet drop and high velocity in pipe with shallow flows over unembedded pipe. Chinook confirmed downstream near Fraser River confluence in the past. Railway bridge downstream seen in photos. 
13900030,Dewateredat crossing with large wetland area upstream. Flow goes through mainstem of Dominion Creek just north through town. 
22200081, Two pipes at 1.4m diameter each. Crossing is only 5m downstream of the railway crossing. The stream has bigger volume of water at this location than it did below Highway 5 downstream.  Water may be recharging beaver influenced wetlands downstream. Road edge has been armoured with riprap and downstream side of road bank is eroding significantly for approximately 60m.           
22201951,"Culvert runs under both sets of tracks. Model Crossing will need to be removed from bcfishpass. Outlet of this pipe is immediately upstream of Loseth road with significant armouring around the outlet pool and road at the inlet downstream. Very nice stream with significant amounts of flow. Known rainbow stream. Much less flow downstream below Highway 5,  which is very interesting."
22201176,Very nice stream with salmon point in FISS located upstream. Very good flow with some pools present to 80cm deep upstream. Unassessed railway crossing approximately 200m upstream.  There is no crossing at the pipeline but construction activities have resulted in a small cascade of boulders at the pipe which is similar to the natural cascade section observed approximately 50m upstream.  Railway crossing downstream which is ranked as a barrier.         
22200022,Very small stream with low flow. Embankment above outlet has been covered to prevent rockslide. 
22200075,"Nice little stream with good flow and abundant small gravel's upstream. There may be crossings downstream on private land. Significant amount of large riprap placed around inlet and outlet to protect the crossing. Outlet is placed on large piece of riprap, so 0.3m was added to the 0.2m outlet drop to account for the additional distance from the stream to the outlet. RB observed upstream.  "
22201218,Very nice stream with good flow and abundant gravels upstream. Pipe is an extremely bad shape with extensive corrosion inside of the pipe particularly at the downstream and - see photos.  Likely at least one crossing downstream on private land.  Transmission line corridor is located immediately upstream and the channel appears to be modified in this location to be straighter and narrower than its natural state.  No crossing immediately upstream on Goslin Road (no road - crossing should be removed as potential barrier in bcfishpass)            
22201229,"Culvert is undersized for a stream of this size. High flow,  channel is just over 10m wide upstream. Chinook confirmed downstream in the past.  "
22200067,Pipes and road are in extremely poor condition with evidence of embankment failure and pipes rusted all the way through on the bottom side in places. Small side road parallel to Highway 16 with residences that could be accessed from either side. Removal of crossing could perhaps be considered. Large high value system suitable for bulltrout rearing.  Culvert upstream is relatively new concrete box culvert on the highway which is over half embedded and 3.7m wide. 
22200051,Stream flows through private fenced off land on both sides. Moderate flow and a wide entrenched channel upstream. It appears cobbles are the predominant stream substrate and gravels subdominant. 
22200151,Newly installed culvert with beaver grate on inlet. Beaver influenced wetland area upstream and downstream. Channel width estimated as wetland areas present.  Approximately 700m downstream this stream flows into Swift Creek which is a known chinook stream.   
13900003,"Two culverts,  one bigger than the other. Debris jams at inlet creating drop and increasing stream velocity in pipe. Rail crossing upstream is a concrete OBS. Channel wider downstream than upstream."
22200029,"Small stream with low flow. Muddy, fine substrate makes up most of streambed. Very close to Fraser River. "
22200061,"Large stream with cobble boulder substrate suitable for bull trout. Concrete box culvert is 60% embedded on the downstream side. Decent amount of debris is clogging the inlet.  Although not perfect, this culvert appears to be fairly new with some embeddedment so not earmarked for follow up.  "
5400446,Nice stream with good flow and abundant gravel throughout low gradients.  Adjacent property is northern wildlife design.  Crossing is currently 100% backwaters and passable to all life stages and species at these lower flow levels.                    
5400589," Major beaver activity with inlet of pipe 3/4 blocked by mud.  0.6m overflow pipe also present.  Low gradient, willow dominated,  beaver influenced floodplain habitat upstream and downstream.  Pipe is backwatered however, the inlet is blocked so fish passage was not happening at time of assessment.  Crossing on railway upstream, not yet assessed.                 "
5400423," Two pipes at 1.8 m each,  north pipe slightly lower than south pipe at outlet.  Good sized stream with great flow for this time of year on a dry year.  Abundant black algae on gravel and cobble substrate.  Very nice stream.  Appears to have decent riparian health adjacent to the crossing but riparian buffer to be enlarged particularly on upstream south side.  Downstream crossing on highway was fully backwatered and not a barrier at the time of assessment.        "
5400024," Three 4 m diameter pipes.  All three pipes are 100% backwatered, and passable.  Road prism and pipes appear to be in good condition.  Extensive beaver activity upstream and downstream.           "
15600273,"Stream is extremely impacted by cattle ranching.  Banks eroded and trampled.  Algae indicates nutrient inputs from cows are high.  Pipes are old with a lot of rust.  Habitat value is currently very poor,  but historically would've been high.  Still a good amount of flow for a dry year.  100% backwatered however,  depth of the water is only approximately 1 cm.  Absolutely no riparian vegetation or cattle exclusion fencing on the upstream side for as far as the eye can see (approximately 1 km.).           "
24727338,100% backwatered at time of assessment. Beaver dams downstream backwatering the crossing. Pipe and road prism in great shape. Fully passable for all species and life stages at the time of assessment. Some small amount of embeddedment but only for a small piece of the pipe diameter.  Known chinook system with significant restoration works upstream.  
15600468,Agricultural land on both sides and cow pasture downstream. Fully backwatered culvert with no flowing water. Cows seen intruding into the stream channel at time of survey. 
15600468,Agricultural land on both sides and cow pasture downstream. Fully backwatered culvert with no flowing water. Cows seen in stream channel at time of survey.  Chinook observation upstream from 2019.
15600111,Stream section is part of rehab project. New - fully backwatered structure likley passable to all life stages and species at time of assessment.
15600106,"Wetland habitat upstream and downstream. Huge beaver dam on inlet side creating drop. Adjacent landowner Ron reports there are no fish near this location. He reports that beaver activity increased significantly in the past few years, that is the only reason there is water here.  "
15600488,"Wetland upstream and downstream. A lot of beaver activity upstream, big pond near inlet. Culvert is very warped on inlet side.  Chinook observations downstream on nearby Clear Creek."
15600120,"Two pipes, approx 15m apart but part of same system. No flowing water through either. Signs of beaver activity upstream. "
15600158,"Very small channel downstream, wider upstream. Small amount of flow, grassy wetland habitat. Not likely fish bearing stream section. Considered medium habitat value due to larger size of watershed and presence of some water in drought period when many adjacent systems were dry."
15605366,Wetland downstream.  Vegetated channel upstream. Several unassessed crossings downstream.
15600112,"Stream not flowing at the time of assessment.  Horse pasture downstream.  Fenced off on both sides of pipe.  Nechako Environment and Water Stewardship Society ( https://newssociety.org/watersheds/goldie-creek ) report that stream was historically impacted adjacent to this site when Highway 27 was constructed 20-30 years ago due to fill from the excavation of the highway contributing significant amounts of sediment into Stoney Creek and ultimately into the spawning beds of Nechako White Sturgeon just below the Stoney Creek/Nechako River confluence. Extensive works completed upstream of the crossing in 2021 including culvert replaced with bridge, installation of beaver dam analogues, riparian planting and addition of large woody debris just upstream of the crossing. "
5400448,"Long pipe, no outlet drop but culvert is partially backwatered at outlet. Small fish spotted in outlet pool. Upstream goes into private land and is fenced off. "
5400181,"Culvert is backwatered and fully submerged on inlet side. Outlet side barely visible. Wetland/grassy habitat upstream and downstream. Stagnant water present in pools, no flowing water. Assuming beaver activity due to beaver grate on inlet and beaver dam seen downstream in photos.  Silt fencing seen on downstream left bank and major erosion on downstream right bank, based on photos."
