stream_name,local_name,site,location,ef,date_time_start,crew_members,length_surveyed,hab_value,priority,comments,upstream_habitat_length_m,species_codes
Nine Mile Creek ,199204_ds,199204,ds,,2024-10-04T20:07:02Z,LS,300,High,Moderate,"The stream had good flow with frequent deep pools suitable for overwintering fish. Gravels were abundant and suitable for spawning. Significant beaver activity was observed, with signs of old beaver dams and active dams blocking both culverts on Settlement Road. At the lower end of the site, the stream had been artificially entrenched with machinery, forming a large backwatered pool or trench with water pipes leading in. The purpose of the pipes was unclear, but they may have been related to the adjacent cut block. The area contained scattered debris and appeared heavily disturbed. Despite the modifications, the stream continued to flow out of the entrenched area but had been significantly narrowed. One small fish (~40mm) was observed. The stream provided excellent fish habitat overall. The first 150m showed signs of cattle trampling, with numerous small trails crossing the stream. The east side of the stream ran along a cut block with a 30–50m buffer zone.  Chinook have been captured and detected just downstream of this crossing as part of an ongoing environmental DNA (eDNA) project led by Dr. Brent Murray and Barry Booth at UNBC. ",36287,RB
Nine Mile Creek,199204_us,199204,us,,2024-10-04T19:12:41Z,AI,425,Medium,Moderate,"The stream was a larger system with significant beaver activity, creating impoundments behind dams ranging from 0.3 to 1.5m in height. Heavy cattle use was evident in riparian areas, with trampled banks, extensive browsing of riparian shrubs, and a significant amount of manure within seasonally inundated areas. The survey extended from Settlement Road to a large beaver dam and impoundment. Nutrient loading to the stream appeared high, with large amounts of algae present on the primarily gravel substrates in sections of the channel linking beaver-impounded areas.Chinook have been captured and detected just downstream of this crossing as part of an ongoing environmental DNA (eDNA) project led by Dr. Brent Murray and Barry Booth at UNBC. ",36287,RB
Beaverley Creek ,199232_ds,199232,ds,,2024-10-05T18:11:52Z,LS,300,Medium,High,"The stream is a major tributary to the Chilako River, with documented Chinook presence. The stream was somewhat channelized due to residences on both sides. Pools were limited, with only two observed that were suitable for overwintering fish, both formed by functional large woody debris. Overall, functional large woody debris was sparse. Banks on both sides showed significant erosion, and the property on river right upstream had reinforced the bank with wood and metal. Concrete was frequently observed in the stream. Directly below the outlet, efforts had been made to backwater the culvert using large boulders in rows, which was somewhat effective, though the culvert itself remained unbackwatered. Fish habitat was limited due to the lack of pools. The river was highly turbid during the survey, so gravels were likely present but not visible. The stream had a steeper gradient (3–4%) just below the culvert but transitioned to a much lower gradient (~0.5%) after the backwatered boulder section.      ",127847,BB;CAS;CBC;CH;CSU;DV;KO;LNC;LSU;MW;NSC;PCC;RB;RSC;SU
Beaverley Creek ,199232_us,199232,us,,2024-10-05T16:45:17Z,AI,725,High,High,"A large stream with abundant gravels suitable for Chinook spawning. Pools were infrequent, primarily located on outside bends and behind large woody debris. Some evidence of anthropogenic manipulation was observed, including cut cottonwood trees that had fallen into the channel. The riparian zone was in good condition, with mature shrub communities and old-growth cottonwood that should contribute to future habitat complexity. The culvert appeared to have been modified in the past to attempt backwatering, with boulder lines present downstream. Heavy rainfall over the previous evening and preceding weeks had raised water levels to moderate conditions. The stream was a major tributary to the Chilako River, with documented Chinook presence. The watershed was within Prince George city limits, presenting opportunities for community engagement, trail network development, educational programs, and stewardship initiatives. A significant slump on the highway approximately 300m upstream of the culvert was actively eroding; however, a healthy young deciduous and shrub-dominated riparian zone at this location likely provided some filtration and protection of water quality.",127847,BB;CAS;CBC;CH;CSU;DV;KO;LNC;LSU;MW;NSC;PCC;RB;RSC;SU
Snowshoe Creek,199237_ds,199237,ds,,2024-10-08T21:15:00Z,LS,300,High,Moderate,"The stream was wide with high flow at the time of assessment. It contained abundant functional large woody debris, providing excellent habitat with cover, pools, and complex riffle habitats. The stream split into multiple channels in several locations, forming two to three channels before rejoining. Several mid-size woody debris jams created additional habitat complexity. Although the water was highly turbid at the time of assessment, some gravels were observed, but the substrate was primarily fines. No photos were due to the surveyor’s phone falling in the river.",25172,EB;LKC;RB;RSC;ST
Snowshoe Creek ,199237_us,199237,us,,2024-10-08T20:22:35Z,AI,750,High,Moderate,"The stream was surveyed upstream for 750m, following the west fork at the junction. The east fork was surveyed separately (13900100_us2). The stream was a large, low-gradient gravel riffle-pool system with abundant large woody debris throughout. Banks were stable, with an intact mature coniferous riparian zone. High flows due to heavy rains over the past two weeks made pool delineation difficult, so residual depth was estimated. Gravel and small cobbles were present, likely suitable for Chinook spawning. Extensive areas of high-value habitat were observed for juvenile rearing and resident salmonid spawning.",25172,EB;LKC;RB;RSC;ST
Snowshoe Creek,199237_us2,199237,us2,,2024-10-08T22:13:09Z,AI,230,High,Moderate,"The East Fork of Snowshoe Creek was assessed. It was a large channel with smaller gravel and abundant fines. The riffle-pool structure was stable due to abundant large woody debris within the channel. Gravels were likely suitable for resident salmonid species, with high-value rearing habitat for Chinook and other salmonids.",25172,EB;LKC;RB;RSC;ST
Tributary To Kenneth Creek ,199255_ds,199255,ds,,2024-10-07T22:22:20Z,LS,270,Low,Moderate,"The first 130m of the stream was a beaver-affected area, with a beaver dam approximately 0.7m high located about 40m downstream of the culvert. The dam had flooded the surrounding forest, making it difficult to follow the main channel, as water and pools were present throughout. Occasional sections had a somewhat defined channel, but the majority of the surveyed area consisted of water flowing through a wet forest. No gravels or cobbles were observed, with the substrate consisting entirely of fine mud. Fish habitat was limited, with very few pools present.",1633,LSU
Tributary To Kenneth Creek,199255_us,199255,us,,2024-10-07T22:04:15Z,AI,650,Medium,Moderate,"Small stream with good flow and abundant gravels suitable for bull trout and cutthroat trout spawning. Occasional shallow pools provided habitat for juvenile salmonid rearing. Banks were stable, with an intact mixed mature forest. The stream had some short sections with gradients up to 5% but was primarily a low-gradient riffle-gravel system.",1633,LSU
Kenneth Creek ,199256_ds,199256,ds,,2024-10-07T18:12:31Z,LS ,370,High,High,"The stream provided excellent habitat, with deep pools over 1m formed by functional large woody debris. Gravels suitable for spawning were abundant, and pools offered good overwintering habitat for fish of all ages. Chinook, bull trout, and other species are documented upstream in the FISS database. A massive outlet pool was present, and the culvert had a significant outlet drop, making it a strong candidate for replacement, though the highway crossing would make it costly. Downstream of the culvert, the stream ran parallel to the highway with banks reinforced by riprap and large wood secured with metal wiring to create habitat and reduce flow. These structures were arranged in three sets of two logs, spaced roughly 5m apart.  The Kenneth Creek watershed was assessed in detail using Fish Habitat Assessment Procedures (FHAP) in 1997 by AquaFor Consulting Ltd., who identified the lower 15 reaches as extremely valuable chinook salmon habitat, also supporting bull trout and rainbow trout.",88429,BT;CC;CCG;CH;LSU;RB
Kenneth Creek,199256_us,199256,us,,2024-10-07T17:55:52Z,AI,950,High,High,"The stream was large and gravel-dominated, with extensive deep runs, deep pools, large woody debris, and multiple channels throughout. Gravels were suitable for Chinook and resident salmonid spawning. A Chinook spawner was observed upstream of the culvert in 2022. Heavy rains over the past two weeks had significantly raised water levels. A beaver dam was present within side channels at the upper end of the surveyed site. The riparian area was intact throughout, consisting of a mix of shrub-dominated wetland areas and mature mixed forest.  The Kenneth Creek watershed was assessed in detail using Fish Habitat Assessment Procedures (FHAP) in 1997 by AquaFor Consulting Ltd., who identified the lower 15 reaches as extremely valuable chinook salmon habitat, also supporting bull trout and rainbow trout.",88429,BT;CC;CCG;CH;LSU;RB
Tributary To Sugarbowl Creek,199260_ds,199260,ds,,2024-10-07T20:31:12Z,LS,320,High,High,"The stream provided excellent bull trout habitat, with steep gradients, step pools, and cascade pools. Flow was significant at the time of assessment. Gravels suitable for spawning were abundant, and occasional pools ranging from 0.2–0.4m deep provided overwintering habitat. Functional large woody debris created steps and additional habitat for fish. The stream flowed through a mature old-growth forest that was damp, healthy, and thriving. The culvert had a significant outlet drop of over 1m,  likely acting as a barrier to fish passage. This stream would be a good candidate for follow-up electrofishing and potential culvert replacement.",893,
Tributary To Sugarbowl Creek,199260_us,199260,us,,2024-10-07T20:20:10Z,AI,650,Medium,High,"The stream was a larger, steeper system with intact, mature coniferous cedar-hemlock riparian cover, primarily stable banks, and abundant large woody debris throughout. A step-pool morphology was present, with pools up to 80cm deep. Numerous debris jam steps ranged from 30–60cm. Habitat appeared suitable for large bull trout spawning and rearing.",893,
Driscoll Creek,199267_ds,199267,ds,,2024-10-08T17:00:00Z,LS,300,High,Moderate,"The stream had a large outlet pool and provided good habitat. The substrate was primarily fines, with some gravels present. Water was highly turbid, making it difficult to assess the substrate. A beaver dam was located just upstream of the culvert inlet. The surrounding riparian area consisted of a healthy old-growth forest on both sides of the stream.No photos were due to the surveyor’s phone falling in the river.",12452,CCG;RB
Driscoll Creek,199267_us,199267,us,,2024-10-08T16:38:43Z,AI,600,High,Moderate,"The stream was a low-gradient, gravel-dominated system with an extensive shrub-sedge wetland area and beaver activity in the lower 200m. Deep pools up to 1m were present throughout, influenced by abundant large woody debris contributed from the adjacent mature, primarily coniferous forest. The stream was surveyed for 600m upstream of the highway, and the west fork was surveyed.",12452,CCG;RB
Teepee Creek ,199278_ds,199278,ds,,2024-10-09T19:42:28Z,LS,150,High,High,"Concrete blocks formed a step ~30m downstream of the pipe outlet, with a wooden bridge at 40m and a water pump at 50m downstream. The stream provided excellent habitat, with frequent pools 0.3–0.5m deep suitable for overwintering fish and abundant gravels for spawning.  Roughly 150m downstream of the culvert, several cattle pens crossed the stream and appeared to be set up to provide cattle access for drinking. These areas were visibly trampled, with significant loss of riparian vegetation. The stream was surveyed 150m downstream to the cattle pens (WP 425).",536,SA
Teepee Creek,199278_us,199278,us,,2024-10-09T19:07:33Z,AI,310,Medium,High,"The stream was surveyed from the highway to the railway and was a mid-sized, steeper cobble-boulder step-pool system with only rare pockets of unembedded gravels. Deep pools were present, formed by boulder and large woody debris scour. A salmon point was noted near the pipeline location in FISS. Numerous small steps ranging from 30–60cm were present due to the steep, boulder-dominated nature of the stream.",536,SA
Holliday Creek ,199282_ds,199282,ds,,2024-10-09T23:45:34Z,LS,350,High,Moderate,"A high-quality system overall. The channel split into two in several places before rejoining. Several large wood jams created complex habitat. The substrate was primarily boulder and cobble with some sand.  Overall, it was a healthy-looking stream, though few pools were available for overwintering fish, with only three observed ranging from 0.2–0.5m deep. One small cascade was present but fully passable to fish. Frequent gravels suitable for spawning were observed. The survey extended 350m downstream to the bottom of the site (WP 422). A fish (~60mm) was observed at the bottom of the site. Chinook and bull trout have been previously captured both upstream and downstream of the crossing by Triton Environmental Consultants Ltd. The Holliday Creek Arch Protected Area is located upstream accessed by a 8km trail from the highway. ",20661,
Holliday Creek,199282_us,199282,us,,2024-10-09T23:24:22Z,AI,800,Medium,Moderate,"A large glaciated system with a cobble-boulder substrate and an intact mixed riparian zone, primarily deciduous. Occasional large woody debris features created deep pool habitats and likely gravel tailouts. The system had a lower gradient, with occasional pockets of gravels suitable for spawning salmonids ranging from 20cm to 100cm in size.  Chinook and bull trout have been previously captured both upstream and downstream of the crossing by Triton Environmental Consultants Ltd. The Holliday Creek Arch Protected Area is located upstream, accessed by a 8km trail from the highway. ",20661,
Scotch Creek,199328_ds,199328,ds,,2024-10-04T17:51:10Z,AI,230,Medium,Moderate,"A gravel-dominated, small, low-gradient stream that flowed through two recreational properties into Fraser Lake at the downstream end of the survey. The stream had been channelized with riprap at the upstream end of the survey and near the downstream lake. On the lakeside, the left bank was a mix of forest and recreational property lawns. A historic Chinook point was recorded near the culvert at Gala Bay Road. Some type of bloom was observed along the lake shoreline (see photo).",1862,
Teepee Creek ,203302_us,203302,us,,2024-10-09T20:17:12Z,AI,600,Medium,Moderate,"The stream was surveyed from the railway up to PSCIS crossing 4931, where gradients increased significantly, indicating a new reach should begin. Approximately 100m before the end of the site, the stream showed signs of a large disturbance event that had incised the channel to a depth of 1.2–2m, with major areas of aggregation where the channel was widened and uniform.  Substrates were embedded, with very rare areas of unembedded gravels. Due to heavy rain in the days prior to the survey, conditions were slightly turbid, making it difficult to assess the full extent of gravels, particularly within the tailouts of plunge pools. Upstream of the Mount Tinsley Pit Road crossing, a hiking trail follows Teepee Creek and provides access to Mount Terry Fox Provincial Park.",322,
Burnt Cabin Creek ,7622_us,7622,us,,2024-10-03T22:50:33Z,LS ,500,High,High,"A high-quality stream with a relatively steep gradient and abundant functional large woody debris creating steps and pools 20–30mm deep. In some sections, the stream widened and became shallow, with abundant gravels suitable for spawning. Overhead cover was extensive. Near the upper end of the site, the forest had been cleared for pipeline use, resulting in significant bank erosion and riparian removal. A large pipe crossed the stream near the pipeline corridor. The stream was surveyed from Stella Road up to the pipeline, ~500m. A landowner adjacent to the crossing downstream on Gala Bay Road (PSCIS 199171) reported observing adult sockeye along the shoreline near the confluence with Fraser Lake in past years, and noted that the stream flows year-round, even in dry conditions, fed by a spring at the headwaters.",2050,
